Stop ID,Stop Code,Stop Name
4050258,5206,Lawson St at Rosewood St
4050270,5209,Foushee St at Avondale Dr
4050274,5210,MLK Pkwy at Shannon Rd
4050282,5212,Woodcroft Pkwy at Sandstone Ridge Dr
4050286,5215,Fayetteville St at Lawson St (SB)
4050290,5218,Holloway St at Elm St
4050298,5220,Duke St at Demerius St
4050302,5221,E Weaver St at Jesmond St
4050306,5222,Duke St at Henderson Towers
4050310,5224,Fayetteville St at Burlington Ave (NB)
4050314,5225,Fayetteville St at Brant St (NB)
4050318,5226,Roxboro Rd at Oxford Commons
4050326,5229,Roxboro Rd at Hugo St
4050330,5230,Guess Rd at North Pointe Dr (Inbound)
4050334,5231,University Dr at Beech Lake Apts (WB)
4050338,5233,Freeman Rd at Clayton Rd
4050342,5234,Fayetteville Rd at Woodcroft Pkwy (NB)
4050346,5235,University Dr at University Pl
4050350,5237,Pleasant Dr at US 70
4050354,5238,Avondale Dr at Nancy St
4050358,5239,Cornwallis Rd at Spring Ridge Apts (SB)
4050362,5240,Freeman Rd at Valmet Dr
4050366,5241,Lawson St at Durham Tech Library
4050370,5242,Riddle Rd at Kirby St (NB)
4050374,5244,Woodcroft Shopping Center (WB)
4050378,5245,Holloway St at Alston Ave
4050386,5247,Fayetteville Rd at Juliette Dr (NB)
4050390,5248,Guess Rd at Duke Homestead Rd
4050398,5253,Holloway St at Brye St
4050410,5259,Alston Ave at Geer St
4050414,5261,University Dr at Westgate Dr (EB)
4050418,5262,NC 55 at Dakota St (SB)
4050422,5263,Gregson St at Green St
4050426,5264,Bacon St at Lawson St
4050430,5265,E Main St at Blacknall St
4050434,5268,Waring St at Davinci St
4050438,5269,Stadium Dr at Horton Rd
4050442,5271,Dearborn Dr at Thelma St (south)
4050450,5273,Roxboro Rd at Oxford Commons
4050454,5274,Holloway St at Hoover Rd
4050458,5275,Green St at Lancaster St (WB)
4050462,5276,Broad St at Forest Rd (out)
4050466,5277,Dearborn Dr at Apollo St
4050474,5280,E Main St at S Dillard St
